english,taagra,pos,syn,notes
taught,korna danka,v,,
tavern,so'paj,n,,
taverns,so'paja,n,,
tea,jhakri,n,,
teach,korna dan,v,"teaches, teaching","Lit. ""knowledge give"""
teacher,korniit,n,"coach, instructor, educator, professor, tutor",
teachers,korniit,n,"coaches, instructors, educators, professors, tutors",
teachings,korna'a,n,"lessons, philosophies, insights",
team,petan,n,"group, gang",
team,petanith,v,"teams, teaming, group, groups, grouping, join, joins, joining",
teamed,petanithka,v,"grouped, joined, teamed",
teams,petana,n,"groups, gangs",
tear,enartri,n,,From crying
tears,enartra,n,,From crying
teary,enartri'i,adj,,
teas,jhakra,n,,
teeth,kuza,n,fangs,
tell the truth,thzina ualizz,v,,
temperature,repathdri,n,,
temperatures,repathdra,n,,
temple,zalkavi,n,church,
temples,zalkava,n,churches,
ten,de,n,,
tent,kehpo,n,,
tenth,detu,adj/adv/n,,Ordinals: number +tu
tents,kehpa,n,,
than,elo,pr,,
thank,tonsh,v,"thanks, thanking",
thanked,tonshka,v,,
thanks,tonshe,n,gratitude,
that,jaji,adv/pn,,
that's:,jaba,cont,,
the,,art,,Not used
their,jaadi,pn,,
theirs,jaadi,pn,,
them,jaadi,pn,,
themselves,jaadino,pn,,
then,arra,adv,,
there,etofa,adv,,
there's,etoba,cont,,
these,jaja,adv/pn,,
they,jaadi,pn,,
they're,jaara,cont,,
thief,dariit,n,"burglar, pickpocket, robber",
thieves,dariit,n,"burglars, pickpockets, robbers",
thing,satil,n,item,
things,satila,n,item,
think,krozij,v,"thinks, thinking, consider, considers, considering, ponder, ponders, pondering",
third,mitu,adj/adv/n,,Ordinals: number +tu
thirst,kerush,n,,
thirsty,kerushi,adj,,
thirty,mide,n,,
this,jajo,adv/pn,,
those,jajia,adv/pn,,
thought,krozijka,v,"considered, pondered",
thousand,kele,n,,
thousands,kela,n,,
thread,tem,n,string,
thread,temith,v,"threads, threading, string, strings, stringing",
threaded,temithka,v,stringed,
threads,tema,n,strings,
three,mi,n,,
threw,zitoka,v,"tossed, hurled, heaved, flung, lobbed, pitched",
through,tohe'i,pr,throughout,
throw,zito,v,"throws, throwing, toss, tosses, tossing, hurl, hurls, hurling, heave, heaves, heaving, fling, flings, flinging, lob, lobs, lobbing, pitch, pitches, pitching",
thunder,goorra,n,,
thunderous,goorri,adj,"thundery, booming",
thursday,khenapal,n,turdas,"Abbreviation: ""khp"""
tie,reji,v,"ties, tying, bind, binds, binding, attach, attaches, attaching, knot, knots, knitting, link, links, linking, secure, secures, securing",
tied,rejika,v,"bound, attached, knotted, linked, secured",
tight,tatay'im,adj,,
time,kono,n,,
times,kona,n,,
tire,zaith,v,"tires, tiring",
tired,zai,adj,"exhausted, weary, fatigued",
tired,zaithka,v,,
to,#NAME?,suf,"toward, towards","Lative noun case suffix.  Append to the noun it is associated with.  e.g. ""to the store"" is ""fashali"""
today,jajopal,adv/n,,"Lit. ""this day"""
toe,zarpi,n,,
toes,zarpa,n,,
tomorrow,ikopal,adv/n,,"Lit. ""after day"""
tongue,lipith,n,,
tongues,lipitha,n,,
too,bisha,adv,"overly, excessively",
took,traajirka,v,,
took (by force),traajijazerika,v,"seized, wrested, wrenched, usurped, extorted",
tool,bakat,n,"device, gadget, apparatus",
tools,bakata,n,"devices, gadgets",
tooth,kuz,n,fang,
top,ovo,adj/adv/n,"peak, tip, pinnacle",
tops,ova,n,"peaks, tips, pinnacles",
torch,akenibi,n,,"Lit. ""fire stick"""
torches,akeniba,n,,
touch,zitay,v,"touches, touching",
touched,zitayka,v,,
towel,dohi,n,,
towel,dohith,v,"towels, toweling",
toweled,dohithka,v,,
towels,doha,n,,
tower,fasiiri,n,"obelisk, spire",
towers,fasiira,n,"obelisks, spires",
town,kojod,n,,
towns,kojoda,n,,
tradition,jhavanzi,n,,Irregular
traditional,jhavanzi'i,adj,,
traditions,jhavanzi,n,,Irregular
train,ranarr,v,"trains, training, drill, drills, drilling, practice, practices, practicing",
trained,ranarrka,v,"drilled, practiced",
training,ranarrna,n,"drill, practice",
travel,khivalah,v,"travels, traveling","Lit. ""go far"""
traveled,khivalahka,v,,
treat,dazal,v,"treats, treating, cure, cures, curing, remedy, remedies, remedying","Lit. ""give health"""
treated,dazalka,v,"cured, remedied",
treatment,dazalna,n,"cure, remedy",
treatments,dazalna'a,n,"cures, remedies",
tree,ra'shan,n,,
trees,ra'shana,n,,
triangle,miseve,n,,
triangles,miseva,n,,
trouble,mushith,v,"troubling, troubles, bother, bothers, irk",
troubled,mushithka,v,"bothered, irked",
TRUE,thzi,adj,"real, valid, accurate, correct, legit, legitimate, genuine, authentic, factual, right",
trust,dayth,v,"trusts, trusting, believe, believes, believing",
trust,daythna,n,"belief, faith",
trusted,daythka,v,"trusted, believed",
trusts,daythna'a,n,"beliefs, faiths",
truth,thzina,n,"reality, validity, accuracy, legitimacy, authenticity, fact",
truths,thzina'a,n,"realities, validities, accuracies, facts",
tuesday,srenpal,n,tirdas,"Abbreviation: ""sp"""
tune,pashith,v,"tunes, tuning, adjust, adjusts, adjusting, attune, attunes, attuning, harmonize, harmonizes, harmonizing",
tune,pasho,n,"melody, song, harmony",
tuned,pashithka,v,"adjusted, attuned, harmonized",
tunes,pasha,n,"melodies, songs, harmonies",
turn,zraga,v,"turns, turning",
turn,zragana,n,,A turn
turned,zragaka,v,,To turn
turns,zragana'a,n,,
twelfth,deqotu,adj/adv/n,,Ordinals: number +tu
twenty,qode,n,,
twilight,jasiir,n,"dimness, gloom",
two,qo,n,,
ugliness,itrolana,n,,
ugly,itrola,adj,"hideous, awful, grisly, grotesque",
uncle,nakom,n,,
uncles,nakoma,n,,
unknown,radoz,adj,,
unlike,ifoh,pr,,
unlucky,k'sharraji,adj,"unfortunate, cursed, ill-fated",
unlucky-one,k'sharraj,n,an unfortunate/ill-fated/cursed person,
unskilled,khitozay,adj,"untalented, incapable, incompetent, inexperienced, unqualified",
until,adi,pr,,
up,pe,pr,,
urinate,krissith,v,"urinates, urinating, pee, pees, peeing, piss, pisses, pissing",
urinated,krissithka,v,"peed, pissed",
urine,kriss,n,"pee, piss",
us,ahzirr,pn,,
use,hadi,v,"uses, using, employ, employs, employing, utilize, utilizes, utilizing, operate, operates, operating",To use
use,hadina,n,application,A use
used,hadika,v,"employed, utilized, operated",
useful,hadi'i,adj,"suitable, effective, appropriate",
useless,hadozay,adj,"futile, fruitless, impractical, ineffective, pointless",
uses,hadina'a,n,applications,
valley,lozwe,n,,
valleys,lozwa,n,,
vault,yotra,n,safe,
vaults,yotra'a,n,safes,
vegetable,quskro,n,,
vegetables,quskra,n,,
very,zira,adv,"extremely, exceedingly, exceptionally, intensely, abundantly, decidedly, supremely, highly, really, truly, awfully, quite, such",
via,ihowodro,pr,,
victorious,rakizi,adj,,
victory,rakizna,n,win,
village,shezov,n,hamlet,
villages,shezova,n,hamlets,
voice,ros,n,,
voices,rosa,n,,
vowel,bijgi,n,,
vowels,bijga,n,,
wag,foze,v,"wags, wagging",
wagged,fozeka,v,,
wait,thza,v,"waits, waiting",
wait,thzana,n,,
waited,thzaka,v,,
wake,zaigoh,v,"wakes, waking",
walk,iit,v,"walks, walking",
walked,iitka,v,,
wall,hagi,n,,
walls,haga,n,,
wander,zarathosh,v,"wanders, wandering, drift, drifts, drifting, waft, wafts, wafting",
wandered,zarathoshka,v,"drifted, wafted",
wanderer,zarathiit,n,drifter,
wanderers,zarathiit,n,drifters,
want,boka,v,"wants, wanting",
wanted,bokaka,v,,
war,ra'rak,n,,
ware,jhako,n,,
warehouse,jhakapaj,n,"storehouse, depot, depository, repository",
warehouses,jhakapaja,n,"storehouses, depots, depositories, repositories",
wares,jhaka,n,"goods, merchandise",
warlike,ra'raki,adj,,
warm,ja'fith,adj,,
wars,ra'raka,n,,
was,vaber,v,,"""I was"", Irregular verb"
was,vabera,v,,"""He/she/it was"", Irregular verb"
was not,naber,v,wasn't,"""I was not"", Irregular verb"
was not,nabera,v,wasn't,"""He/she/it was not"", Irregular verb"
wash,nojri,v,"washes, washing",
washed,nijrika,v,,
waste,lafa,v,"wastes, wasting, squander, squanders, squandering",
waste,lafana,n,"trash, garbage, refuse, rubbish",
wasted,lafaka,v,squandered,
watch,vakota,v,"watches, watching",
watched,vakotaka,v,,
water,da'khe,n,,The water
water,da'khith,v,"waters, watering",To water
watered,da'khithka,v,,
waters,da'kha,n,,
watery,da'khe'i,adj,,
wave,lijpa,n,,
waves,lijpa'a,n,,
way,jhav,n,"means, process, procedure, method, course",
ways,jhava,n,"processes, procedures, methods, courses",
we,ahzirr,pn,,
we're,ahzirra,cont,,
weak,wapu,adj,,
weakness,wapuna,n,,
weaknesses,wapuna'a,n,,
weapon,epal,n,,
weaponless,epalozay,adj,,
weapons,epala,n,,
wear,zwoka,v,"wears, wearing, don, dons, donning",
weather,ayathra,n,,"Lit. ""sky spirit"""
wednesday,azupal,n,middas,"Abbreviation: ""azp"""
weed,bama,n,,
weeds,bama'a,n,,
week,vopom,n,,
weeks,vopoma,n,,
weight,zwarhe,n,,
weightless,zwarhozay,adj,,
weird,o'zin,adj,"strange, abnormal, eerie, creepy, peculiar",
welcome,yosan,n,,A welcome
welcome,yosanith,v,"welcomes, welcoming",To welcome
welcomed,yosanka,v,,
welcomes,yosana,n,,
welcoming,yosani,adj,,
went,khika,v,proceeded,
were,vabeka,v,,"""We/you/y'all/they were"", Irregular verb"
were not,nabeka,v,,"""We/you/y'all/they were not"", Irregular verb"
west,gatru,n,,
wet,divi,adj,,
wetness,divina,n,,
what,kaaka,adj/adv/n/pn,,
when,q'zi,adv/cj/n/pn,,
where,kalor,adv/cj,,
whine,saniir,v,"whines, whining",
whine,saniirna,n,,
whined,saniirka,v,,
whines,saniirna'a,n,,
whiny,saniiri,adj,,
whisker,zitho,n,,
whiskers,zitha,n,,
whisper,jhapith,v,"whispers, whispering, mutter, mutters, muttering, murmur, murmurs, murmuring",
whisper,jhapo,n,"mutter, murmur",
whispered,jhapithka,v,"muttered, murmured",
whisperer,jhapiit,n,"mutterer, murmurer",
whisperers,jhapiit,n,"mutterers, murmurers",
whispers,jhapa,n,"mutters, murmurs",
white,siirto,adj/n,,
whites,siirta,n,,
who,kaver,pn,,
why,kador,adv/cj/n,,
wide,goru,adj,thick,
width,goruna,n,thickness,
wife,rotot,n,,
wild,rhoj,adj,"untamed, savage, primitive",
wild-one,rhojiit,n,,
wild-ones,rhojiit,n,,
will,#NAME?,suf,,"Future tense suffix.  Append to the verb being expressed in the future tense.  ""I will go"" is ""Ahziss khise"""
will be,vabase,v,,"""He/she/it will be"", Irregular verb"
will be,varase,v,,"""We/you/y'all/they will be"", Irregular verb"
will be,vase,v,,"""I will be"", Irregular verb"
will not be,nabase,v,won't be,"""He/she/it will not be"", Irregular verb"
will not be,narase,v,won't be,"""We/you/y'all/they will not be"", Irregular verb"
will not be,nase,v,won't be,"""I will not be"", Irregular verb"
win,rakiz,v,"wins, winning",
wind,zara,n,,
window,hi'ijel,n,,
windows,hi'ijela,n,,
winds,zara'a,n,,
windy,zara'i,adj,,
wine,vato,n,,
wines,vata,n,,
wing,bazaro,n,,
wings,bazara,n,,
winter,zima,n,,
wintery,zima'i,adj,,
wisdom,kestuna,n,,
wise,kestu,adj,,
witch,ro'rishajiit,n,"enchantress, sorceress",
witches,ro'rishajiit,n,"enchantresses, sorceresses",
with,wo,pr,including,
within,kerin,pr,,
without,kerov,pr,,
wives,rotota,n,,
woke,zaigohka,v,,
woman,oriit,n,"gal, female",Irregular
womanly,oriiti,adj,feminine,
women,oriit,n,"gals, females",Irregular
won,rakizka,v,,
wonder,dosith,v,"wonders, wondering, ponder, ponders, pondering",To be curious
wonder,yotali,v,"wonders, wondering, marvel, marvels, marveling, astonish, astonishes, astonishing, amaze, amazes, amazing",Not curiosity or pondering
wonder,yotalina,n,"wonderment, marvel, astonishment, amazement",
wondered,dosithka,v,pondered,
wondered,yotalika,v,"marveled, astonished, amazed",
wonderful,ajo,adj,"amazing, awesome, astonishing, excellent, remarkable, superb, outstanding, phenominal, fabulous",
wonders,yotalina'a,n,"wonterments, marvels, astonishments, amazements",
wood,drea,n,,
wooden,drea'i,adj,,
word,hazur,n,term,
wordless,hazurozay,adj,,
words,hazura,n,terms,
wordy,hazuri,adj,,
wore,zwokaka,v,,
work,zrish,v,"works, working",
worked,zrishka,v,,
worker,zrishiit,n,"employee, laborers",
workers,zrishiit,n,"employees, laborers, staff",
world,nirni,n,,
worlds,nirna,n,,
worried,mokka,v,,
worry,mok,v,"worries, worrying",
worse,saa may'a,adj,,"Lit. ""more bad"""
worship,durravar,v,"worships, worshipping, idolize, idolizes, idolizing, revere, reveres, revering",
worshipped,durravarka,v,"idolized, revered",
worst,jai may'a,adj,,"Lit. ""most bad"""
worth,yasta,n,"value, quality, merit",Non-financial value
worthless,yastozay,adj,"valueless, meritless",
worths,yasta'a,n,"values, qualities, merits",
worthy,yasti,adj,"valuable, quality, meritous",
would,ko,v,,Conditional mood
write,dur,v,"writes, writing",
writer,durrarriit,n,author,
writers,durrarriit,n,authors,
wrote,durka,v,,
y'all,bali,pn,,
y'all's,bali,pn,,
y'allselves,balino,pn,,
year,shivat,n,,
years,shivata,n,,
yellow,zwintho,adj/n,,
yellows,zwintha,n,,
yes,jat,adv/n,,
yesses,jata,n,,
yesterday,sunopal,adv/n,,"Lit. ""before day"""
yet,bade,adv/conj,"though, although, still, moreover, nevertheless, however",
yokudan,yokudi,adj,,
you,jer,pn,,
you're,jera,cont,,
young,ja',adj,,
your,jer,pn,,
yours,jer,pn,,
yourself,jerno,pn,,
zero,zwo,n,,
